127.0.0.1 - - [11/May/2018:09:27:16 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:41 +0800] "GET /Diary HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:42 +0800] "GET /Diary/ HTTP/1.1" 200 3069
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:42 +0800] "GET /Diary/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 200 22102
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:42 +0800] "GET /Diary/bootstrap/js/jQuery.js HTTP/1.1" 200 92633
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:42 +0800] "GET /Diary/bootstrap/js/bootstrap.js HTTP/1.1" 200 61884
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:42 +0800] "GET /Diary/bootstrap/css/bootstrap.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:42 +0800] "GET /Diary/images/star.gif HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:42 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:44 +0800] "POST /Diary/login HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:44 +0800] "GET /Diary/style/diary.css HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:44 +0800] "GET /Diary/js/ckeditor/ckeditor.js HTTP/1.1" 200 459952
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:44 +0800] "GET /Diary/images/list_icon.png HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:44 +0800] "GET /Diary/images/user_icon.png HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:44 +0800] "GET /Diary/userImages/20140113081010.jpg HTTP/1.1" 200 55748
0:0:0:0:0:0:0:1 - - [11/May/2018:09:27:44 +0800] "GET /Diary/images/byType_icon.png HTTP/1.1" 200 626
